	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	log_gdppercapita	log_gdppercapita	log_gdppercapita	log_gdppercapita	log_gdppercapita	log_gdppercapita
						
closed_autocracies	-0.911***	-0.909***	-0.877***	-0.512***	-0.511***	-0.511***
	(0.107)	(0.0930)	(0.0913)	(0.0770)	(0.0773)	(0.0773)
electoral_autocracies	-0.756***	-0.643***	-0.626***	-0.362***	-0.362***	-0.362***
	(0.113)	(0.0901)	(0.0887)	(0.0787)	(0.0787)	(0.0787)
electoral_democracies	-0.487***	-0.431***	-0.431***	-0.297***	-0.297***	-0.297***
	(0.0973)	(0.0796)	(0.0782)	(0.0656)	(0.0657)	(0.0657)
oilproductiontwh		0.000491***	0.000411***	0.000272***	0.000272***	0.000272***
		(0.000101)	(8.09e-05)	(7.72e-05)	(7.72e-05)	(7.72e-05)
hist_pop_est_mil			2.57e-09***	1.42e-09***	1.42e-09***	1.42e-09***
			(6.70e-10)	(3.72e-10)	(3.72e-10)	(3.72e-10)
working_pop				-0.0198***	-0.0197***	-0.0197***
				(0.00166)	(0.00166)	(0.00166)
coup					-0.00914	-0.00914
					(0.0246)	(0.0246)
Constant	9.273***	9.178***	9.083***	10.33***	10.33***	10.33***
	(0.0826)	(0.0734)	(0.0715)	(0.124)	(0.124)	(0.124)
						
Observations	9,081	7,114	7,114	7,114	7,114	7,114
R-squared	0.134	0.255	0.297	0.495	0.495	0.495
Number of country_id	161	161	161	161	161	161
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
